2026-03-18 15:10:01.025 | WARNING  | session=a64fc2a9 | mod=arm          | [Arm] RobotControlModule not found — running in MOCK mode
2026-03-18 15:10:01.028 | WARNING  | session=a64fc2a9 | mod=arm          | [Arm] MOCK mode — no real robot at 192.168.144.49
2026-03-18 15:10:01.028 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] setSpeed 30
2026-03-18 15:10:01.029 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] setForceThreshold 1.0
2026-03-18 15:10:01.031 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] Ready  speed=30  z_comp=+1.0mm  mock=True
2026-03-18 15:10:01.031 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] → approach  xyz=(120.0,-80.0,331.0)  rz=45.0°
2026-03-18 15:10:01.036 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_START action=approach pose=(120.0,-80.0,331.0) id=
2026-03-18 15:10:01.037 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] executePath 1 points
2026-03-18 15:10:01.089 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_DONE  action=approach elapsed=52ms
2026-03-18 15:10:01.090 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] → descend to grasp  xyz=(120.0,-80.0,181.0)
2026-03-18 15:10:01.091 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_START action=grasp_descend pose=(120.0,-80.0,181.0) id=
2026-03-18 15:10:01.091 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] executePath 1 points
2026-03-18 15:10:01.142 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] open_gripper preset=3
2026-03-18 15:10:01.444 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] → close gripper  preset=3
2026-03-18 15:10:01.445 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] close_gripper preset=3
2026-03-18 15:10:01.746 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_DONE  action=grasp elapsed=655ms
2026-03-18 15:10:01.748 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] Grasp result: gripped=True
2026-03-18 15:10:01.749 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] → lift to (120.0,-80.0,331.0)
2026-03-18 15:10:01.750 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_START action=lift pose=(120.0,-80.0,331.0) id=
2026-03-18 15:10:01.751 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] executePath 1 points
2026-03-18 15:10:01.802 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_DONE  action=lift elapsed=52ms
2026-03-18 15:10:01.804 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] → deliver (via reset_pose)
2026-03-18 15:10:01.805 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_START action=deliver pose=(0.0,32.6,-129.1) id=
2026-03-18 15:10:01.805 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] executePath 2 points
2026-03-18 15:10:01.857 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_DONE  action=deliver elapsed=52ms
2026-03-18 15:10:01.859 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] Waiting for handover  timeout=2s ...
2026-03-18 15:10:01.859 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] startForceDetection
2026-03-18 15:10:03.880 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] stopForceDetection
2026-03-18 15:10:03.881 | WARNING  | session=a64fc2a9 | mod=arm          | [Arm] Handover timeout (2s) — forcing gripper open
2026-03-18 15:10:03.883 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] open_gripper preset=-1
2026-03-18 15:10:03.884 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] → reset pose
2026-03-18 15:10:03.885 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_START action=reset pose=(0.0,32.6,-129.1) id=
2026-03-18 15:10:03.885 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] executePath 1 points
2026-03-18 15:10:03.936 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_DONE  action=reset elapsed=51ms
2026-03-18 15:10:03.937 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] Shutting down ...
2026-03-18 15:10:03.938 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] → reset pose
2026-03-18 15:10:03.939 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_START action=reset pose=(0.0,32.6,-129.1) id=
2026-03-18 15:10:03.939 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] executePath 1 points
2026-03-18 15:10:03.990 | INFO     | session=a64fc2a9 | mod=execution    | MOTION_DONE  action=reset elapsed=52ms
2026-03-18 15:10:03.992 | INFO     | session=a64fc2a9 | mod=arm          | [MOCK] shutdown
2026-03-18 15:10:03.992 | INFO     | session=a64fc2a9 | mod=arm          | [Arm] Shutdown complete
